VideoID,Video Title,Video Link,Transcript ID,Police Report ID
video_91,Suspect Wanted from Earlier Car Chase Captured by Boston Police Detail Officer Inside Pizza Shop,https://www.youtube.com/watch?v=KDsaHpKua1o,transcript_91,narrative_91
video_92,Boston Police Chase Down and Arrest Home Invasion Suspect in Downtown Boston,https://www.youtube.com/watch?v=MfEKINUpzrE,transcript_92,narrative_92
video_93,Boston Police Anti-Crime Unit Makes Drug Trafficking Arrest During East Boston Traffic Stop,https://www.youtube.com/watch?v=5RijxbPII74,transcript_93,narrative_93
video_94,Attempted Home Invasion Leads to Firearm Arrest by Boston Police,https://www.youtube.com/watch?v=ugyNT-oLaf4,transcript_94,narrative_94
video_95,Officers Arrest Armed Robbery Suspect on Boston Police's Most Wanted List,https://www.youtube.com/watch?v=iCd4F9NiAU0,transcript_95,narrative_95
video_96,Traffic Stop Leads to Firearm and Drug Distribution Arrest on Talbot Ave in Boston,https://www.youtube.com/watch?v=Y6GnuxE77Lk,transcript_96,narrative_96
video_97,Foot Chase with Boston Police Leads to Arrest of an Armed Suspect and Interfering Driver,https://www.youtube.com/watch?v=JaG7l1QvNK0,transcript_97,narrative_97
video_98,Joint Investigation Between Boston Police Gang Unit and State Troopers Leads to Felony Gun Arrest,https://www.youtube.com/watch?v=3TD5XR6Mu1E,transcript_98,narrative_98
video_99,Boston Police Arrest Suspect with a Gun Following Shots Fired on Blue Hill Ave,https://www.youtube.com/watch?v=CMmLpjtGD7g,transcript_99,narrative_99
video_100,Boston Police Apprehend Suspect of a Double Stabbing After Foot Chase in Roxbury,https://www.youtube.com/watch?v=AyrgpwIfMSw,transcript_100,narrative_100
video_101,Boston Police Arrest Armed Fugitive Wanted for Attempted Murder Following Call for Shots Fired,https://www.youtube.com/watch?v=13c95MfyK3c,transcript_101,narrative_101
video_102,Boston Police Arrest Over 100+ Protestors at Emerson College Overnight,https://www.youtube.com/watch?v=UEeHpDziQV8,transcript_102,narrative_102
video_103,Boston Police and FBI Agents Recover AK-47 During Search Warrant of Mattapan Apartment,https://www.youtube.com/watch?v=zQ-dWrHUc0E,transcript_103,narrative_103
video_104,Boston Police Officers Make Firearm Arrest Following a Large Fight in Dorchester,https://www.youtube.com/watch?v=TDQuJhIT5mk,transcript_104,narrative_104
video_105,Boston Police Arrest Armed Felon Found Asleep in a Stairwell,https://www.youtube.com/watch?v=BwWRK0MdxLo,transcript_105,narrative_105
video_106,Suspect Arrested on Multiple Drug Trafficking Charges Following Roxbury Traffic Stop,https://www.youtube.com/watch?v=zDJgG6hcs7c,transcript_106,narrative_106
video_107,Boston Man Arrested on Firearm Charges Following Traffic Stop in Dorchester,https://www.youtube.com/watch?v=Qrqo8br6Em0,transcript_107,narrative_107
video_108,Suspended License Leads to Discovery of Illegal Firearm by Boston Police,https://www.youtube.com/watch?v=apq5DQis2MQ,transcript_108,narrative_108
video_109,Juvenile Caught and Arrested on Gun Charges in Boston After Running from Boston Police,https://www.youtube.com/watch?v=YMZ9s8ELsRI,transcript_109,narrative_109
video_110,Suspected Shooter Arrested by Boston Police Following 911 Call for Shots Fired,https://www.youtube.com/watch?v=mr4nO3_2Bm4,transcript_110,narrative_110
video_111,Boston Police Arrest Armed Suspect Following Emergency 911 Call,https://www.youtube.com/watch?v=VZIoqEWYPIo,transcript_111,narrative_111
video_112,Rhode Island Man Arrested In Boston For Gun And Drug Charges,https://www.youtube.com/watch?v=SQlvlbNh-lE,transcript_112,narrative_112
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
